date,TU precip,,,TU precip
15/01/1979,2.41756,,1979,2.41756
15/02/1979,2.48266,,1979.083333,2.48266
15/03/1979,3.23437,,1979.166667,3.23437
15/04/1979,4.36682,,1979.25,4.36682
15/05/1979,4.11203,,1979.333333,4.11203
15/06/1979,5.26441,,1979.416667,5.26441
15/07/1979,5.16658,,1979.5,5.16658
15/08/1979,4.28127,,1979.583333,4.28127
15/09/1979,3.59522,,1979.666667,3.59522
15/10/1979,2.85364,,1979.75,2.85364
15/11/1979,2.36979,,1979.833333,2.36979
15/12/1979,2.2441,,1979.916667,2.2441
15/01/1980,2.45712,,1980,2.45712
15/02/1980,2.70828,,1980.083333,2.70828
15/03/1980,3.64469,,1980.166667,3.64469
15/04/1980,3.81139,,1980.25,3.81139
15/05/1980,6.63782,,1980.333333,6.63782
15/06/1980,5.58583,,1980.416667,5.58583
15/07/1980,4.94429,,1980.5,4.94429
15/08/1980,4.09471,,1980.583333,4.09471
15/09/1980,3.1678,,1980.666667,3.1678
15/10/1980,2.38301,,1980.75,2.38301
15/11/1980,2.77646,,1980.833333,2.77646
15/12/1980,2.14768,,1980.916667,2.14768
15/01/1981,2.68639,,1981,2.68639
15/02/1981,3.35205,,1981.083333,3.35205
15/03/1981,3.01804,,1981.166667,3.01804
15/04/1981,5.3298,,1981.25,5.3298
15/05/1981,4.17074,,1981.333333,4.17074
15/06/1981,5.49255,,1981.416667,5.49255
15/07/1981,5.103,,1981.5,5.103
15/08/1981,5.04587,,1981.583333,5.04587
15/09/1981,3.28263,,1981.666667,3.28263
15/10/1981,2.11883,,1981.75,2.11883
15/11/1981,2.29339,,1981.833333,2.29339
15/12/1981,1.96059,,1981.916667,1.96059
15/01/1982,2.34239,,1982,2.34239
15/02/1982,3.858,,1982.083333,3.858
15/03/1982,3.68331,,1982.166667,3.68331
15/04/1982,4.46512,,1982.25,4.46512
15/05/1982,4.37239,,1982.333333,4.37239
15/06/1982,5.35974,,1982.416667,5.35974
15/07/1982,5.55915,,1982.5,5.55915
15/08/1982,4.01736,,1982.583333,4.01736
15/09/1982,3.19473,,1982.666667,3.19473
15/10/1982,2.57993,,1982.75,2.57993
15/11/1982,2.38363,,1982.833333,2.38363
15/12/1982,1.91769,,1982.916667,1.91769
15/01/1983,2.2709,,1983,2.2709
15/02/1983,2.46996,,1983.083333,2.46996
15/03/1983,3.94315,,1983.166667,3.94315
15/04/1983,3.27024,,1983.25,3.27024
15/05/1983,4.37206,,1983.333333,4.37206
15/06/1983,5.31218,,1983.416667,5.31218
15/07/1983,6.31575,,1983.5,6.31575
15/08/1983,4.99079,,1983.583333,4.99079
15/09/1983,3.02774,,1983.666667,3.02774
15/10/1983,2.68414,,1983.75,2.68414
15/11/1983,1.84149,,1983.833333,1.84149
15/12/1983,1.97529,,1983.916667,1.97529
15/01/1984,2.52798,,1984,2.52798
15/02/1984,3.23734,,1984.083333,3.23734
15/03/1984,3.61142,,1984.166667,3.61142
15/04/1984,4.91301,,1984.25,4.91301
15/05/1984,5.40567,,1984.333333,5.40567
15/06/1984,4.93874,,1984.416667,4.93874
15/07/1984,4.82615,,1984.5,4.82615
15/08/1984,5.2708,,1984.583333,5.2708
15/09/1984,3.29308,,1984.666667,3.29308
15/10/1984,2.18629,,1984.75,2.18629
15/11/1984,2.53083,,1984.833333,2.53083
15/12/1984,2.48591,,1984.916667,2.48591
15/01/1985,2.75037,,1985,2.75037
15/02/1985,2.71651,,1985.083333,2.71651
15/03/1985,4.07318,,1985.166667,4.07318
15/04/1985,3.39995,,1985.25,3.39995
15/05/1985,6.12197,,1985.333333,6.12197
15/06/1985,5.88867,,1985.416667,5.88867
15/07/1985,5.18149,,1985.5,5.18149
15/08/1985,3.66649,,1985.583333,3.66649
15/09/1985,4.0419,,1985.666667,4.0419
15/10/1985,3.14167,,1985.75,3.14167
15/11/1985,3.02028,,1985.833333,3.02028
15/12/1985,2.3547,,1985.916667,2.3547
15/01/1986,2.80153,,1986,2.80153
15/02/1986,3.58693,,1986.083333,3.58693
15/03/1986,4.31021,,1986.166667,4.31021
15/04/1986,4.46383,,1986.25,4.46383
15/05/1986,5.36662,,1986.333333,5.36662
15/06/1986,6.56454,,1986.416667,6.56454
15/07/1986,5.51555,,1986.5,5.51555
15/08/1986,3.72539,,1986.583333,3.72539
15/09/1986,3.94984,,1986.666667,3.94984
